"filename", "language", "JSON", "JSON with Comments", "TypeScript", "SCSS", "CSS", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\repos\LinkinPark\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 22, 0, 0, 20, 42
"c:\repos\LinkinPark\angular.json", "JSON", 115, 0, 0, 0, 0, 0, 0, 0, 0, 3, 118
"c:\repos\LinkinPark\firebase.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\repos\LinkinPark\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 37, 6, 2, 45
"c:\repos\LinkinPark\package-lock.json", "JSON", 23286, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23287
"c:\repos\LinkinPark\package.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57
"c:\repos\LinkinPark\src\app\app-routing.module.ts", "TypeScript", 0, 0, 98, 0, 0, 0, 0, 0, 3, 8, 109
"c:\repos\LinkinPark\src\app\app.component.css", "CSS", 0, 0, 0, 0, 54, 0, 0, 0, 2, 3, 59
"c:\repos\LinkinPark\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\repos\LinkinPark\src\app\app.component.scss", "SCSS", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\repos\LinkinPark\src\app\app.component.spec.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\repos\LinkinPark\src\app\app.component.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 3, 8, 32
"c:\repos\LinkinPark\src\app\app.module.ts", "TypeScript", 0, 0, 157, 0, 0, 0, 0, 0, 3, 29, 189
"c:\repos\LinkinPark\src\app\appLogin\forgot-password\forgot-password.component.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 0, 2, 7, 33
"c:\repos\LinkinPark\src\app\appLogin\forgot-password\forgot-password.component.scss", "SCSS", 0, 0, 0, 536, 0, 0, 0, 0, 9, 119, 664
"c:\repos\LinkinPark\src\app\appLogin\forgot-password\forgot-password.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\appLogin\forgot-password\forgot-password.component.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\repos\LinkinPark\src\app\appLogin\login-header\login-header.component.html", "HTML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 5, 13
"c:\repos\LinkinPark\src\app\appLogin\login-header\login-header.component.scss", "SCSS", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\repos\LinkinPark\src\app\appLogin\login-header\login-header.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\appLogin\login-header\login-header.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\repos\LinkinPark\src\app\appLogin\login\login.component.css", "CSS", 0, 0, 0, 0, 564, 0, 0, 0, 9, 127, 700
"c:\repos\LinkinPark\src\app\appLogin\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 5, 11, 53
"c:\repos\LinkinPark\src\app\appLogin\login\login.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\repos\LinkinPark\src\app\appLogin\login\login.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 1, 22, 60
"c:\repos\LinkinPark\src\app\appLogin\logout\logout.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\repos\LinkinPark\src\app\appLogin\logout\logout.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\appLogin\logout\logout.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\appLogin\logout\logout.component.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 1, 6, 24
"c:\repos\LinkinPark\src\app\appLogin\sign-up\sign-up.component.html", "HTML", 0, 0, 0, 0, 0, 52, 0, 0, 1, 7, 60
"c:\repos\LinkinPark\src\app\appLogin\sign-up\sign-up.component.scss", "SCSS", 0, 0, 0, 536, 0, 0, 0, 0, 9, 119, 664
"c:\repos\LinkinPark\src\app\appLogin\sign-up\sign-up.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\appLogin\sign-up\sign-up.component.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 4, 11, 33
"c:\repos\LinkinPark\src\app\appLogin\verify-email\verify-email.component.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 1, 9, 47
"c:\repos\LinkinPark\src\app\appLogin\verify-email\verify-email.component.scss", "SCSS", 0, 0, 0, 536, 0, 0, 0, 0, 9, 119, 664
"c:\repos\LinkinPark\src\app\appLogin\verify-email\verify-email.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\appLogin\verify-email\verify-email.component.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\repos\LinkinPark\src\app\caja\caja-control\caja-control.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\caja\caja-control\caja-control.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\caja\caja-control\caja-control.component.ts", "TypeScript", 0, 0, 140, 0, 0, 0, 0, 0, 13, 29, 182
"c:\repos\LinkinPark\src\app\caja\caja-log\caja-log.component.html", "HTML", 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"c:\repos\LinkinPark\src\app\caja\caja-log\caja-log.component.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\repos\LinkinPark\src\app\caja\caja-log\caja-log.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\caja\caja-log\caja-log.component.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 7, 14, 61
"c:\repos\LinkinPark\src\app\caja\caja-view\caja-view.component.html", "HTML", 0, 0, 0, 0, 0, 130, 0, 0, 6, 15, 151
"c:\repos\LinkinPark\src\app\caja\caja-view\caja-view.component.scss", "SCSS", 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\repos\LinkinPark\src\app\caja\caja-view\caja-view.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\caja\caja-view\caja-view.component.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 5, 10, 55
"c:\repos\LinkinPark\src\app\caja\forms\caja-apertura-form\caja-apertura-form.component.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 1, 2, 36
"c:\repos\LinkinPark\src\app\caja\forms\caja-apertura-form\caja-apertura-form.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\caja\forms\caja-apertura-form\caja-apertura-form.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\caja\forms\caja-apertura-form\caja-apertura-form.component.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 24, 42, 136
"c:\repos\LinkinPark\src\app\caja\forms\caja-cierre-form\caja-cierre-form.component.html", "HTML", 0, 0, 0, 0, 0, 27, 0, 0, 7, 8, 42
"c:\repos\LinkinPark\src\app\caja\forms\caja-cierre-form\caja-cierre-form.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\caja\forms\caja-cierre-form\caja-cierre-form.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\caja\forms\caja-cierre-form\caja-cierre-form.component.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 11, 38, 115
"c:\repos\LinkinPark\src\app\caja\forms\caja-egreso-form\caja-egreso-form.component.html", "HTML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"c:\repos\LinkinPark\src\app\caja\forms\caja-egreso-form\caja-egreso-form.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\caja\forms\caja-egreso-form\caja-egreso-form.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\caja\forms\caja-egreso-form\caja-egreso-form.component.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 4, 24, 90
"c:\repos\LinkinPark\src\app\caja\forms\caja-ingreso-form\caja-ingreso-form.component.html", "HTML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"c:\repos\LinkinPark\src\app\caja\forms\caja-ingreso-form\caja-ingreso-form.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\caja\forms\caja-ingreso-form\caja-ingreso-form.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\caja\forms\caja-ingreso-form\caja-ingreso-form.component.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 24, 41, 134
"c:\repos\LinkinPark\src\app\caja\sesion-view\sesion-view.component.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 0, 1, 4, 26
"c:\repos\LinkinPark\src\app\caja\sesion-view\sesion-view.component.scss", "SCSS", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\repos\LinkinPark\src\app\caja\sesion-view\sesion-view.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\caja\sesion-view\sesion-view.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 1, 6, 44
"c:\repos\LinkinPark\src\app\clientes\clientes-control\clientes-control.component.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\repos\LinkinPark\src\app\clientes\clientes-control\clientes-control.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\clientes\clientes-control\clientes-control.component.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 0, 0, 3, 12, 108
"c:\repos\LinkinPark\src\app\clientes\clientes-form\clientes-form.component.html", "HTML", 0, 0, 0, 0, 0, 73, 0, 0, 27, 13, 113
"c:\repos\LinkinPark\src\app\clientes\clientes-form\clientes-form.component.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\repos\LinkinPark\src\app\clientes\clientes-form\clientes-form.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\clientes\clientes-form\clientes-form.component.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 0, 8, 44, 178
"c:\repos\LinkinPark\src\app\clientes\clientes-form\clientes-form.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\repos\LinkinPark\src\app\clientes\clientes-view\clientes-view.component.html", "HTML", 0, 0, 0, 0, 0, 63, 0, 0, 1, 3, 67
"c:\repos\LinkinPark\src\app\clientes\clientes-view\clientes-view.component.scss", "SCSS", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\repos\LinkinPark\src\app\clientes\clientes-view\clientes-view.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\clientes\clientes-view\clientes-view.component.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 1, 19, 74
"c:\repos\LinkinPark\src\app\clientes\pago-abono\pago-abono.component.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\repos\LinkinPark\src\app\clientes\pago-abono\pago-abono.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\clientes\pago-abono\pago-abono.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\clientes\pago-abono\pago-abono.component.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 2, 8, 56
"c:\repos\LinkinPark\src\app\clientes\vehiculos-form\vehiculos-form.component.html", "HTML", 0, 0, 0, 0, 0, 180, 0, 0, 3, 8, 191
"c:\repos\LinkinPark\src\app\clientes\vehiculos-form\vehiculos-form.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"c:\repos\LinkinPark\src\app\clientes\vehiculos-form\vehiculos-form.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\clientes\vehiculos-form\vehiculos-form.component.ts", "TypeScript", 0, 0, 233, 0, 0, 0, 0, 0, 24, 33, 290
"c:\repos\LinkinPark\src\app\facturacion\consulta-facturacion\consulta-facturacion.component.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 8, 6, 143
"c:\repos\LinkinPark\src\app\facturacion\consulta-facturacion\consulta-facturacion.component.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\repos\LinkinPark\src\app\facturacion\consulta-facturacion\consulta-facturacion.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"c:\repos\LinkinPark\src\app\facturacion\consulta-facturacion\consulta-facturacion.component.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 19, 13, 95
"c:\repos\LinkinPark\src\app\facturacion\facturacion-control\facturacion-control.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\facturacion\facturacion-control\facturacion-control.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"c:\repos\LinkinPark\src\app\facturacion\facturacion-control\facturacion-control.component.ts", "TypeScript", 0, 0, 162, 0, 0, 0, 0, 0, 53, 41, 256
"c:\repos\LinkinPark\src\app\facturacion\facturacion-form\facturacion-form.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\repos\LinkinPark\src\app\facturacion\facturacion-form\facturacion-form.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\facturacion\facturacion-form\facturacion-form.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\facturacion\facturacion-form\facturacion-form.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\repos\LinkinPark\src\app\facturacion\facturacion-view\facturacion-view.component.html", "HTML", 0, 0, 0, 0, 0, 70, 0, 0, 0, 5, 75
"c:\repos\LinkinPark\src\app\facturacion\facturacion-view\facturacion-view.component.scss", "SCSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\repos\LinkinPark\src\app\facturacion\facturacion-view\facturacion-view.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\facturacion\facturacion-view\facturacion-view.component.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 12, 50
"c:\repos\LinkinPark\src\app\home\header\header.component.css", "CSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\repos\LinkinPark\src\app\home\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 13, 20
"c:\repos\LinkinPark\src\app\home\header\header.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\repos\LinkinPark\src\app\home\header\header.component.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\repos\LinkinPark\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\repos\LinkinPark\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\repos\LinkinPark\src\app\home\home.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\repos\LinkinPark\src\app\home\home.component.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\repos\LinkinPark\src\app\home\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 0, 48, 0, 0, 0, 12, 60
"c:\repos\LinkinPark\src\app\home\navbar\navbar.component.scss", "SCSS", 0, 0, 0, 54, 0, 0, 0, 0, 2, 4, 60
"c:\repos\LinkinPark\src\app\home\navbar\navbar.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\home\navbar\navbar.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\repos\LinkinPark\src\app\inicio\inicio.component.html", "HTML", 0, 0, 0, 0, 0, 56, 0, 0, 0, 2, 58
"c:\repos\LinkinPark\src\app\inicio\inicio.component.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\repos\LinkinPark\src\app\inicio\inicio.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\inicio\inicio.component.ts", "TypeScript", 0, 0, 125, 0, 0, 0, 0, 0, 7, 16, 148
